name,net_worth,gender,age,birth_year,birth_month,birth_day,industry,self_made,country,gdp_country,cpi_change_country,gross_tertiary_education_enrollment,life_expectancy_country,total_tax_rate_country,population_country
Sun Weijie,1100,M,59.0,1963.0,7.0,26.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Gary Magness,1400,M,69.0,1954.0,2.0,26.0,Media & Entertainment,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Yvonne Bauer,2600,F,46.0,1977.0,3.0,29.0,Media & Entertainment,False,Germany,"$3,845,630,030,824 ",1.4,70.2,80.9,48.8,83132799.0
Maja Oeri,3000,F,68.0,1955.0,1.0,1.0,Healthcare,False,Switzerland,"$703,082,435,360 ",0.4,59.6,83.6,28.8,8574832.0
Ni Yongpei & family,2200,M,71.0,1952.0,1.0,23.0,Food & Beverage,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Shapoor Mistry,7000,M,58.0,1964.0,9.0,6.0,Diversified,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Wang Zhenghua,2200,M,78.0,1944.0,4.0,25.0,Service,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
David Baszucki,2600,M,60.0,1963.0,1.0,20.0,Media & Entertainment,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Yi Dasheng,1600,M,62.0,1961.0,2.0,1.0,Diversified,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Eduardo Costantini,1300,M,76.0,1946.0,9.0,17.0,Real Estate,True,Argentina,"$449,663,446,954 ",53.5,90.0,76.5,106.3,44938712.0
Dan Olsson,2700,M,76.0,1947.0,1.0,1.0,Diversified,False,Sweden,"$530,832,908,738 ",1.8,67.0,82.5,49.1,10285453.0
Euisun Chung,2800,M,52.0,1970.0,10.0,18.0,Automotive,False,South Korea,"$2,029,000,000,000 ",0.4,94.3,82.6,33.2,51709098.0
Zhang Gongyun,1000,M,60.0,1962.0,12.0,18.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Liang Zhaoxian,2000,M,58.0,1965.0,1.0,1.0,Manufacturing,False,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Ken Fisher,6700,M,72.0,1950.0,11.0,29.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
John Coates,3100,M,53.0,1970.0,1.0,7.0,Gambling & Casinos,True,United Kingdom,"$2,827,113,184,696 ",1.7,60.0,81.3,30.6,66834405.0
Eric Ya Shen,1200,M,52.0,1971.0,1.0,1.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Rene Benko,6000,M,46.0,1977.0,3.0,20.0,Real Estate,True,Austria,"$446,314,739,528 ",1.5,85.1,81.6,51.4,8877067.0
Neal Blue & family,4400,M,88.0,1935.0,4.0,4.0,Manufacturing,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Rakesh Gangwal,3800,M,69.0,1953.0,7.0,25.0,Service,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Liu Gexin & family,1300,M,71.0,1951.0,5.0,12.0,Healthcare,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Li Guoqing,1200,M,53.0,1970.0,2.0,22.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Benu Gopal Bangur,7300,M,91.0,1931.0,6.0,1.0,Manufacturing,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Sergei Katsiev,1600,M,65.0,1958.0,1.0,11.0,Fashion & Retail,True,Russia,"$1,699,876,578,871 ",4.5,81.9,72.7,46.2,144373535.0
Tang Jinkui & family,2200,M,67.0,1955.0,9.0,19.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Matthias Reinhart,2400,M,63.0,1960.0,1.0,1.0,Finance & Investments,True,Switzerland,"$703,082,435,360 ",0.4,59.6,83.6,28.8,8574832.0
Elaine Wynn,2100,F,80.0,1942.0,4.0,28.0,Gambling & Casinos,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Israel Englander,11300,M,74.0,1948.0,9.0,30.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Qiu Jianping & family,2400,M,61.0,1962.0,1.0,28.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Jeff Bezos,114000,M,59.0,1964.0,1.0,12.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Stephen Jarislowsky,1500,M,97.0,1925.0,9.0,9.0,Finance & Investments,True,Canada,"$1,736,425,629,520 ",1.9,68.9,81.9,24.5,36991981.0
Odd Reitan & family,4500,M,71.0,1951.0,9.0,11.0,Fashion & Retail,False,Norway,"$403,336,363,636 ",2.2,82.0,82.8,36.2,5347896.0
Brian Roberts,1700,M,63.0,1959.0,6.0,28.0,Media & Entertainment,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
David Siegel,6800,M,61.0,1961.0,7.0,15.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Agnete Kirk Thinggaard,6700,F,39.0,1983.0,5.0,18.0,Manufacturing,False,Denmark,"$348,078,018,464 ",0.8,80.6,81.0,23.8,5818553.0
Ronald Perelman,1800,M,80.0,1943.0,1.0,1.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
"William Conway, Jr.",3000,M,73.0,1949.0,8.0,27.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
David Geffen,7700,M,80.0,1943.0,2.0,21.0,Media & Entertainment,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Jian Jun,6400,F,59.0,1963.0,11.0,1.0,Healthcare,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Anne Werninghaus,1400,F,37.0,1986.0,1.0,1.0,Manufacturing,False,Brazil,"$1,839,758,040,766 ",3.7,51.3,75.7,65.1,212559417.0
Chi Yufeng,2100,M,52.0,1971.0,1.0,1.0,Technology,False,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Archie Aldis Emmerson & family,5500,M,93.0,1929.0,4.0,10.0,Manufacturing,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Cao Renxian,7600,M,54.0,1968.0,7.0,24.0,Energy,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Qu Miranda,1300,F,38.0,1985.0,1.0,1.0,Fashion & Retail,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
